Session,Subject,Epoch_len,Epoch_Start,Label,Condition,ECG_Rate_Mean,ECG_Rate_SD,RSP_Rate_Mean,RSP_Amplitude_Mean,RSP_Rate_SD,Pupil_PctMax_Mean,Pupil_PctMax_Max,Pupil_PctMax_SD
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,0.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,10.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,20.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,30.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,40.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,50.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,60.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,70.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,80.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,90.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,100.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,110.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,120.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,130.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,140.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,150.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,160.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,170.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,180.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,190.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,200.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,210.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,220.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,230.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,240.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,250.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,260.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,270.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,280.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,290.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,300.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,310.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,320.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,330.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,340.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,350.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,360.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,370.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,380.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,390.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,400.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,410.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,420.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,430.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,440.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,450.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,460.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,470.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,480.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,490.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,500.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,510.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,520.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,530.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,540.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,550.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,560.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,570.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,580.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,590.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,600.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,610.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,620.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,630.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,640.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,650.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,660.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,670.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,680.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,690.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,700.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,710.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,720.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,730.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,740.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,750.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,760.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,770.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,780.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,790.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,800.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,810.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,820.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,830.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,840.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,850.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,860.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,870.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,880.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,890.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,900.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,910.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,920.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,930.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,940.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,950.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,960.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,970.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,980.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,990.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,1000.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,1010.0,silence,trill,,,,,,,,
20260406_Poppy_trill(ecg_resp).acq,Poppy,10,1020.0,silence,trill,,,,,,,,
